GEOID,pop_dens,pct_SingleUnit,pct_NaturalResources,NatWalkInd,PM25,pop_dens_t,pct_SingleUnit_t,pct_NaturalResources_t,NatWalkInd_t,PM25_t,UR_Scale,UR_Cat
53011040809,2607.679,0.6368621,0.0021565,13.53,8.584248555,0.737969955,0.6368621,0.0021565,0.687849517,0.516065386,0.681365553,2
53011040810,1731.513,0.6169442,0.005558363,12.8,8.633362211,0.699555952,0.6169442,0.005558363,0.650737163,0.519017987,0.661665561,2
53011040811,762.7679,1,0.009873061,5.55,11.90586339,0.622646593,1,0.009873061,0.282155567,0.715753272,0.425211069,1
53011040812,469.3016,0.8540856,0.006126296,5.81,12.19255191,0.577079826,0.8540856,0.006126296,0.295373665,0.73298833,0.454090116,1
53011040904,1458.928,0.6392713,0,11.71,8.461143996,0.683486016,0.6392713,0,0.595322827,0.508664622,0.63241389,2
53011040905,139.49,0.9828767,0.01741294,5.53,8.09206572,0.463258381,0.9828767,0.01741294,0.28113879,0.48647648,0.366985986,1
53011040907,1180.306,0.9666667,0.002908856,7.51,8.332187729,0.663603948,0.9666667,0.002908856,0.381799695,0.500912066,0.469829425,1
53011040908,1575.41,0.974435,0,11.14,8.438772709,0.690692296,0.974435,0,0.566344687,0.507319711,0.539595165,2
53011040909,1162.828,0.7561947,0,10.57,8.356779343,0.662204343,0.7561947,0,0.537366548,0.502390458,0.576137171,2
53011040910,674.8454,0.9856519,0,10.67,8.238850892,0.611157041,0.9856519,0,0.542450432,0.495300869,0.50344211,1
53011041003,1238.357,0.8945901,0.01952507,8.47,8.77794988,0.668108178,0.8945901,0.01952507,0.430604982,0.527710267,0.505296549,1
53011041005,58.93049,0.6743455,0,4.66,8.468229179,0.382424058,0.6743455,0,0.236908998,0.509090567,0.408871959,1
53011041007,1931.39,0.7839298,0,14.11,8.689024018,0.709804724,0.7839298,0,0.717336045,0.522364247,0.645936801,2
53011041008,1814.734,0.9945055,0,9.85,8.580214204,0.703959944,0.9945055,0,0.500762583,0.51582285,0.516774909,2
53011041009,1543.729,0.5127047,0.01618123,15.51,8.594186683,0.688786476,0.5127047,0.01618123,0.788510422,0.516662844,0.730058276,2
53011041010,1067.932,0.5042599,0.003933137,13.21,8.717144236,0.654217778,0.5042599,0.003933137,0.671581088,0.524054771,0.683843015,2
53011041011,917.5216,0.8229955,0.005223447,9.75,8.830999174,0.63997634,0.8229955,0.005223447,0.495678699,0.530899469,0.538951365,2
53011041104,2232.208,0.6076314,0.005546312,14.45,8.744073399,0.723384582,0.6076314,0.005546312,0.734621251,0.52567369,0.70021829,2
53011041105,1242.293,0.922153,0.005235602,9.86,8.732307652,0.668405888,0.922153,0.005235602,0.501270971,0.52496636,0.524130102,2
53011041107,1466.494,0.7964286,0,8.28,8.731419256,0.683971284,0.7964286,0,0.420945602,0.524912952,0.534294577,2
53011041110,2536.743,0.7962901,0,9.16,8.85976769,0.735382574,0.7962901,0,0.465683782,0.532628966,0.565799258,2
53011041111,5536.869,0.1086037,0.005684755,13.98,8.922689765,0.808609794,0.1086037,0.005684755,0.710726995,0.536411698,0.845729383,2
53011041112,2804.895,0.5324773,0.0109048,9.02,8.842965961,0.744809598,0.5324773,0.0109048,0.458566345,0.531618885,0.631806314,2
53011041113,1626.038,0.110245,0,18.33,13.11034153,0.693659746,0.110245,0,0.931875953,0.788163742,0.89882883,2
53011041114,2150.893,0.1798742,0,15.25,13.06763661,0.719903279,0.1798742,0,0.775292323,0.78559642,0.835953133,2
53011041203,1262.362,0.550747,0.01903036,13.66,8.916083196,0.669909341,0.550747,0.01903036,0.694458566,0.536014526,0.683270569,2
53011041205,1922.365,0.4139284,0,11.09,9.017067718,0.709365318,0.4139284,0,0.563802745,0.542085484,0.688695235,2
53011041206,2167.448,0.8224299,0,11.66,9.021295588,0.720622591,0.8224299,0,0.592780885,0.542339654,0.598258368,2
53011041207,2367.703,0.5672316,0,9.96,13.8336612,0.728913019,0.5672316,0,0.506354855,0.831648066,0.651450602,2
53011041208,1140.777,0.4560469,0,6.33,14.0469918,0.660408219,0.4560469,0,0.321809863,0.844473014,0.596556555,2
53011041309,1568.491,0.6058648,0.009225832,7.7,9.206621713,0.690279365,0.6058648,0.009225832,0.391459075,0.553481037,0.574909673,2
53011041310,1354.158,0.6776342,0,10.77,9.261320476,0.67649472,0.6776342,0,0.547534316,0.556769401,0.606805187,2
53011041312,1757.048,0.5939269,0.003194888,10.71,8.77468058,0.700929362,0.5939269,0.003194888,0.544483986,0.527513724,0.632622527,2
53011041313,1621.357,0.1682028,0.01663051,15.67,8.846972885,0.693389284,0.1682028,0.01663051,0.796644637,0.531859772,0.82248532,2
53011041317,1861.698,0.3733004,0,12.89,9.001498276,0.706356927,0.3733004,0,0.655312659,0.541149485,0.729104264,2
53011041319,1805.289,0.8610075,0.006460388,10.12,8.934454904,0.703470397,0.8610075,0.006460388,0.51448907,0.537118991,0.555451975,2
53011041320,3146.684,0.7033604,0.01369863,13.37,9.046373996,0.75559675,0.7033604,0.01369863,0.679715302,0.543847311,0.667079577,2
53011041321,835.3709,0.9790268,0,8.69,8.934556541,0.631176454,0.9790268,0,0.441789527,0.537125101,0.479323784,1
53011041322,2286.178,0.3447955,0.02830606,16.51,9.126765003,0.725625844,0.3447955,0.02830606,0.839349263,0.548680234,0.801413616,2
53011041323,2677.102,0.5487059,0,15.43,9.135365917,0.740434883,0.5487059,0,0.784443315,0.549197301,0.73933367,2
53011041325,1136.776,0.9073983,0.004517454,10.18,9.267615753,0.660078607,0.9073983,0.004517454,0.5175394,0.557147859,0.532609791,2
53011041326,748.5572,0.9706228,0,8.67,8.710119048,0.62088229,0.9706228,0,0.44077275,0.523632432,0.477227686,1
53011041328,1111.648,0.5347084,0,13.08,9.158726929,0.657981596,0.5347084,0,0.664972039,0.550601712,0.676939298,2
53011041329,1429.97,0.5480916,0,14.79,9.07787936,0.681605168,0.5480916,0,0.751906457,0.545741341,0.710094564,2
53011041330,2798.105,0.9266212,0,10.65,8.855043049,0.744582218,0.9266212,0,0.541433655,0.532344932,0.561236334,2
53011041331,1956.769,0.4191321,0.01768173,10.01,8.877151177,0.711029452,0.4191321,0.01768173,0.508896797,0.533674022,0.666460622,2
53011041332,2402.493,0.9858736,0,12.59,8.846985857,0.730281468,0.9858736,0,0.640061007,0.531860552,0.575227072,2
53011041333,2281.796,0.9784411,0,8.36,8.795177318,0.725445853,0.9784411,0,0.42501271,0.528745941,0.502450938,1
53011041334,778.04,1,0,5.83,13.85577869,0.624506398,1,0,0.296390442,0.832977719,0.438066421,1
53011041335,2271.13,0.8762099,0.006398537,9.93,14.02526776,0.725006296,0.8762099,0.006398537,0.50482969,0.843167014,0.570996094,2
53011041336,3046.881,0.5327014,0,10.39,13.75454645,0.752573018,0.5327014,0,0.528215557,0.826891868,0.674701047,2
